time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
0.06,-0.006112396904694896,1.8402021412603838e-11,10.00187719755519,4.3341343847203007e-08,0.8889631063620271,0.0,-0.3420771355222646,1.840096171802796e-09,-0.014842694474883157,2.1670280258176537e-06,10.817118627203008,0.0
0.12000000000000001,-0.03318227816902203,9.290352285963178e-10,9.997005949501368,1.7138368235691814e-07,1.2098928544157594,0.0,-0.2949980601772423,1.3354225746807526e-08,-0.33269207543498813,2.069192617457791e-06,19.272951518708343,0.0
0.18,-0.0567599975237312,1.6027212064610379e-09,9.959257375986386,3.024018164765607e-07,0.6186840986738709,0.0,-0.2288793644768375,2.9674311791045818e-08,-0.8643642269332334,2.403784048053289e-06,24.35016219654882,0.0
0.23999999999999996,-0.08622026804215908,5.310971120894095e-09,9.896950124673786,4.936105106878586e-07,3.2433408144259452,0.0,-0.7533511208247481,-8.034295793545532e-11,-1.475195836154142,4.7907482270713704e-06,26.87127255357758,0.0
0.3,-0.12276970182363475,-4.032228279334136e-09,9.773058180721955,7.684205503011299e-07,5.103918299154403,0.0,-0.32236541393493495,-2.533195967313568e-07,-2.5252798397040057,4.160962990953708e-06,27.99628205656601,0.0
0.36000000000000004,-0.1269317791440174,-8.3520887537082e-09,9.616887428554385,1.0180783247548675e-06,0.5527102937188815,0.0,0.038625949928836605,2.0839832357426263e-07,-2.5856219975942114,4.160962759402437e-06,28.477706141234496,0.0
0.4200000000000001,-0.13990536931160058,1.7426423205907905e-08,9.456934546087922,1.2398707474048365e-06,2.2734339591837784,0.0,-0.5474806103058699,4.865417159334542e-07,-2.903999963572046,2.3394798671877954e-06,28.680308280411342,0.0
0.48000000000000015,-0.1831529343903882,2.5424129359951268e-08,9.248373664895945,1.3988089007099802e-06,3.997554161147276,0.0,-0.7297023955443205,-2.909946337852214e-07,-4.093359788542507,3.267940763526536e-06,28.765280093965476,0.0
0.5400000000000001,-0.20833393509936585,-2.130808070940074e-09,8.977831814200949,1.5932155692510719e-06,5.724488701877453,0.0,-0.09052766813822621,-3.7588825192690034e-07,-4.751497162847887,3.2122814625097093e-06,28.79932291580922,0.0
0.6000000000000002,-0.2092780552040702,4.996157134273422e-09,8.693292069357412,1.7918796970661788e-06,1.1696443300511348,0.0,-0.10644975013272533,6.228277715827351e-07,-4.737509975809311,3.508642763487524e-06,28.81375209576968,0.0
0.6600000000000003,-0.23563641526314794,4.406847030664841e-08,8.392516834746342,1.9943630311658467e-06,2.8987115724539176,0.0,-0.731406812841219,3.7165922814448e-07,-5.4520403361396275,3.283828302868814e-06,28.823220378290248,0.0
0.7200000000000003,-0.277955282017517,3.0233281571395155e-08,8.029906279536588,2.1913927268357725e-06,4.628306562645644,0.0,-0.5169875360242933,-7.442903258917236e-07,-6.5847546909357355,3.283828158650522e-06,28.831192525331602,0.0
0.7800000000000004,-0.289882383844904,-1.8518921734119933e-09,7.622662278730981,2.4468640953401177e-06,0.07514460662513578,0.0,0.02037111357919423,-3.579748724469721e-08,-6.866441222231821,6.2086711743451e-06,28.83727027574878,0.0
0.8400000000000004,-0.2958133492222483,3.4581366913585684e-08,7.208472171087158,2.7944265328372353e-06,1.8054622799713975,0.0,-0.3624689206752153,1.0396116141820451e-06,-7.0300321439877065,4.960766601904625e-06,28.840596129134916,0.0
0.9000000000000005,-0.3334677476635802,6.705887812332485e-08,6.758599419336836,3.050592431108612e-06,3.5357184390742695,0.0,-0.7629427355757297,-1.7849015496843472e-07,-8.037223718878344,3.923750619861315e-06,28.832612954203277,0.0
0.9600000000000005,-0.36676282250475367,2.0202116931566248e-08,6.246927299889954,3.286017770776084e-06,5.265789596769485,0.0,-0.2376912063063935,-9.631786588245102e-07,-8.881742549308576,3.1410483622557747e-06,28.837239866130403,0.0
1.0200000000000005,-0.37041619506802914,7.088640984531522e-09,5.709803627151633,3.4734543969960896e-06,0.7128426434313351,0.0,-0.015827449204517098,6.004668017576555e-07,-9.003923032522337,3.089734580344397e-06,28.837404786380265,0.0
1.0800000000000005,-0.3877343908965472,6.72778544025423e-08,5.1588780883624725,3.592228521753782e-06,2.4430747163241744,0.0,-0.6098982132708852,8.416481452398453e-07,-9.520727292088928,-8.324892047846658e-08,28.836891907149138,0.0
1.1400000000000006,-0.4294509299336148,6.949307679807456e-08,4.556531931335677,3.5872335866216076e-06,4.173386719327842,0.0,-0.6521808735555208,-7.511833774864377e-07,-10.552939678824028,-8.324892038578004e-08,28.840893697269927,0.0
1.2000000000000006,-0.449422352817992,2.2083777972383807e-08,3.9050479382305214,3.558138411463574e-06,5.90387479070667,0.0,-0.05656342893905597,-2.921666854486189e-07,-11.01341702149785,-2.493418070229109e-06,28.84231973272486,0.0
1.2600000000000007,-0.4528350407860304,4.534347923552171e-08,3.2381371967402663,3.363590357352564e-06,1.3512367960571101,0.0,-0.18543163019147196,1.0049981401284607e-06,-11.232122028694382,-4.740608594970326e-06,28.842659316907117,0.0
1.3200000000000007,-0.48271768414406674,8.901188410442654e-08,2.5414078902508725,2.9605162836787713e-06,3.0817406417575075,0.0,-0.6965545324102448,1.798683329425274e-07,-12.078897605776564,-8.213089498281516e-06,28.84028733875884,0.0
1.3800000000000008,-0.520042795494258,7.457047871426612e-08,1.7902594309135884,2.4680013890332475e-06,4.812081485905463,0.0,-0.39712313403488686,-5.440728991520602e-07,-12.923204293620966,-8.1995657313557e-06,28.837138749378685,0.0
